Nom_complet;Sexe;Nuance;Elu;Région;Tendency
SICARD Anne;FEMININ;RN;True;Île-de-France;Extrême-Droite
CATHALA Gabrielle;FEMININ;UG;True;Île-de-France;Gauche
HADIZADEH Ayda;FEMININ;UG;True;Île-de-France;Gauche
QUENTIN David;MASCULIN;RN;False;Île-de-France;Extrême-Droite
MAUREL Emmanuel;MASCULIN;UG;True;Île-de-France;Gauche
LE GALL Arnaud;MASCULIN;UG;True;Île-de-France;Gauche
MACÉ Lisbeth;FEMININ;RN;False;Île-de-France;Extrême-Droite
MOUTCHOU Naïma;FEMININ;ENS;True;Île-de-France;Centre-Droite
LERUS Chantal;FEMININ;DVG;False;Outre-Mer;Gauche
PETIT Laurent;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
TOLASSY Rody;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
LINON Jennifer;FEMININ;DVC;False;Outre-Mer;Centre
MONPLAISIR Yan;MASCULIN;DVD;False;Outre-Mer;Droite
ROY-LARENTRY Grégory Michel;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
HAJJAR Johnny;MASCULIN;DVG;False;Outre-Mer;Gauche
WILLIAM Jiovanny;MASCULIN;REG;True;Outre-Mer;Autres
CHONG SIT Boris;MASCULIN;DVD;False;Outre-Mer;Droite
POUDROUX Jean-Luc;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
DORO Joan;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
CHAUSSALET Alexis;MASCULIN;DVG;False;Outre-Mer;Gauche
RIVIERE Jonathan;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
LEBON Karine;FEMININ;UG;True;Outre-Mer;Gauche
MOREL Jean Jacques;MASCULIN;RN;False;Outre-Mer;Extrême-Droite
LEGROS Valérie;FEMININ;RN;False;Outre-Mer;Extrême-Droite
BEAUMONT Frédéric;MASCULIN;SOC;False;Outre-Mer;Gauche
BAMANA Anchya;FEMININ;RN;True;Outre-Mer;Extrême-Droite
HAITI EPOUSE FLOSSE Pascale;FEMININ;DVD;False;Outre-Mer;Droite
CHAILLOUX Steve;MASCULIN;UG;False;Outre-Mer;Gauche
PONGA Alcide;MASCULIN;DVD;False;Outre-Mer;Droite
NAISSELINE Omayra Lisa Meun;FEMININ;REG;False;Outre-Mer;Autres
GUMBS Frantz;MASCULIN;DVC;True;Outre-Mer;Centre
BEN CHEÏKH Karim;MASCULIN;UG;True;Étranger;Gauche
DI MEO Elsa;FEMININ;UG;False;Étranger;Gauche
GENETET Anne;FEMININ;ENS;True;Étranger;Centre-Droite
ANGLADE Pieyre-Alexandre;MASCULIN;ENS;True;Étranger;Centre-Droite
VOJETTA Stéphane;MASCULIN;DVC;True;Étranger;Centre
YADAN Caroline;FEMININ;ENS;True;Étranger;Centre-Droite
CORONADO Sergio;MASCULIN;UG;False;Étranger;Gauche
LARAICHI Oussama;MASCULIN;UG;False;Étranger;Gauche
RHARMAOUI-CLAQUIN Asma;FEMININ;UG;False;Étranger;Gauche
CAURE Vincent;MASCULIN;ENS;True;Étranger;Centre-Droite
DELIMI Halima;FEMININ;UG;False;Étranger;Gauche
HERITIER Louise;FEMININ;UG;False;Auvergne-Rhône-Alpes;Gauche
MONETTI Graig;MASCULIN;ENS;False;Provence-Alpes-Côte d'Azur;Centre-Droite
GRANGIER Cyrille;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
PETEL Anne-Laurence;FEMININ;ENS;False;Provence-Alpes-Côte d'Azur;Centre-Droite
LHARDIT Laurent;MASCULIN;UG;True;Provence-Alpes-Côte d'Azur;Gauche
LATUS Marion;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
POUGET Maïtey;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
HUMBLOT-CORNILLE Cyline;FEMININ;RN;False;Bourgogne-Franche-Comté;Extrême-Droite
LEMAITRE Marielle;FEMININ;UG;False;Bretagne;Gauche
BILLAUD Françoise;FEMININ;RN;False;Bretagne;Extrême-Droite
COUTURIER Catherine;FEMININ;UG;False;Nouvelle-Aquitaine;Gauche
CROIZIER Laurent;MASCULIN;ENS;True;Bourgogne-Franche-Comté;Centre-Droite
MONNIER Thibaut;MASCULIN;RN;True;Auvergne-Rhône-Alpes;Extrême-Droite
HARVINDER Jugdeep;FEMININ;UG;False;Bretagne;Gauche
HÉNAFF Christel;FEMININ;RN;False;Bretagne;Extrême-Droite
KERVELLA Denis;MASCULIN;RN;False;Bretagne;Extrême-Droite
LE FEUR Sandrine;FEMININ;ENS;True;Bretagne;Centre-Droite
LAGLEIZE Jean-Luc;MASCULIN;ENS;False;Occitanie;Centre-Droite
ROBY Agathe;FEMININ;UG;False;Occitanie;Gauche
CHAMBELIN Lola;FEMININ;RN;False;Occitanie;Extrême-Droite
BEOUT Caroline;FEMININ;RN;False;Occitanie;Extrême-Droite
PRUD'HOMME Loïc;MASCULIN;UG;True;Nouvelle-Aquitaine;Gauche
THIERRY Nicolas;MASCULIN;UG;True;Nouvelle-Aquitaine;Gauche
PAPIN Céline;FEMININ;UG;False;Nouvelle-Aquitaine;Gauche
COUILLARD Bérangère;FEMININ;ENS;False;Nouvelle-Aquitaine;Centre-Droite
RECALDE Marie;FEMININ;UG;True;Nouvelle-Aquitaine;Gauche
CROZIER Magali;FEMININ;UG;False;Occitanie;Gauche
LAHAIS Tristan;MASCULIN;UG;True;Bretagne;Gauche
ROUAUX Claudia;FEMININ;UG;True;Bretagne;Gauche
REY DU BOISSIEU Jeanne;FEMININ;RN;False;Bretagne;Extrême-Droite
FOURNIER Charles;MASCULIN;UG;True;Centre-Val de Loire;Gauche
VÉRAN Olivier;MASCULIN;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
VERMOREL-MARQUES Antoine;MASCULIN;LR;True;Auvergne-Rhône-Alpes;Droite
RAUX Jean-Claude;MASCULIN;UG;True;Pays de la Loire;Gauche
ERRANTE Sophie;FEMININ;ENS;True;Pays de la Loire;Centre-Droite
LAERNOES Julie;FEMININ;UG;True;Pays de la Loire;Gauche
COMBY Bruno;MASCULIN;UXD;False;Pays de la Loire;Extrême-Droite
ANNEREAU Matthieu;MASCULIN;ENS;False;Pays de la Loire;Centre-Droite
BENBRAHIM Karim;MASCULIN;UG;True;Pays de la Loire;Gauche
MIHAYLOVA Slavka;FEMININ;RN;False;Occitanie;Extrême-Droite
BLANCHET Gérard Raymond;MASCULIN;RN;False;Occitanie;Extrême-Droite
PANTEL Sophie;FEMININ;UG;True;Occitanie;Gauche
JOUANNEAU Guillaume;MASCULIN;UG;False;Pays de la Loire;Gauche
BRISSEAU Thomas;MASCULIN;RN;False;Pays de la Loire;Extrême-Droite
LOUVIGNE Hugo;MASCULIN;RN;False;Pays de la Loire;Extrême-Droite
MOREAU France;FEMININ;UG;False;Pays de la Loire;Gauche
HABLOT Stéphane;MASCULIN;UG;True;Grand Est;Gauche
LE GOFF Aurélie;FEMININ;RN;False;Bretagne;Extrême-Droite
SALANON Violette;FEMININ;ENS;False;Hauts-de-France;Centre-Droite
VIDAL-SAGNIER Odile;FEMININ;UG;False;Hauts-de-France;Gauche
BRUN Charlotte;FEMININ;UG;False;Hauts-de-France;Gauche
CHOUIA Karima;FEMININ;UG;False;Hauts-de-France;Gauche
PEN Loïc;MASCULIN;UG;False;Hauts-de-France;Gauche
BONNET Nicolas;MASCULIN;UG;True;Auvergne-Rhône-Alpes;Gauche
CLEMENT Louis;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
LOPEZ Sylviane;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
DEVÈZE Christian;MASCULIN;ENS;False;Nouvelle-Aquitaine;Centre-Droite
DÔ Stéphanie;FEMININ;RN;False;Grand Est;Extrême-Droite
BREITMAN Rebecca;FEMININ;ENS;False;Grand Est;Centre-Droite
SERRE Nathalie;FEMININ;LR;False;Auvergne-Rhône-Alpes;Droite
MATTEUCCI Fabrice;MASCULIN;UG;False;Auvergne-Rhône-Alpes;Gauche
PIGNAL Cédric;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
ISAAC-SIBILLE Cyrille;MASCULIN;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
RUDIGOZ Thomas;MASCULIN;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
